Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Michelle MAYBERRY,USA,16,20,39.0,66.0,,141,5,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",LIsa McCORMICK,USA,26,28,45.0,76.0,,175,9,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Angela MONTELEONE-SEMESCH,USA,58,74,55.0,52.0,,240,14,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Julie PALMER,USA,5,5,44.0,40.0,,94,1,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Stacy SIMONS,USA,12,12,40.0,47.0,,111,3,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Hollie STEWART,USA,54,59,80.0,19.0,,212,12,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Michelle THELSON,USA,63,80,80.0,80.0,,303,18,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Rosalind VANTERPOOL,Barbados,80,80,80.0,80.0,,320,19,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Sandra WICKHAM,Canada,80,74,38.0,39.0,,241,15,Fitness
Palm Beach Pro,"Palm Beach, Florida, USA","October 13, 2007",Stephanie WORSFOLD,Canada,74,68,54.0,67.0,,263,16,Fitness
Sacramento Pro,"Sacramento, California, USA","November 3, 2007","Arcinas, Huong",USA,25,24,,,,49,8,Pro Figure
Sacramento Pro,"Sacramento, California, USA","November 3, 2007","Brown, Darina",USA,5,10,,,,15,3,Pro Figure
Sacramento Pro,"Sacramento, California, USA","November 3, 2007","Cooke-Elliott, Mary Jo",USA,8,6,,,,14,2,Pro Figure
Sacramento Pro,"Sacramento, California, USA","November 3, 2007","Dumon, Andrea",USA,13,18,,,,31,5,Pro Figure
Sacramento Pro,"Sacramento, California, USA","November 3, 2007","Emborg-Silberg, Maicke",Denmark,50,52,,,,102,17,Pro Figure
Sacramento Pro,"Sacramento, California, USA","November 3, 2007","Flake, Michelle",USA,5,3,,,,8,2,Pro Figure
Sacramento Pro,"Sacramento, California, USA","November 3, 2007","Fortier, April",USA,25,28,,,,53,9,Pro Figure
